Heading,Date,Time,URL,Content
"JAC to provide sample papers for Class 10th, 12th every month to improve results",2019-05-18, 12:14,https://www.hindustantimes.com/education/jac-to-provide-sample-papers-for-class-10th-12th-every-month-to-improve-results/story-qemF2Y8mML1ZdvXKJpaufP.html,"['In a bid to bring further improvement in 12th and 10th class results, Jharkhand Academic Council (JAC) has decided to provide model question papers for both classes every month starting from June this year, officials privy to the development said.', 'The model question papers are expected to help students to complete their syllabus and obtain good marks in the examinations, as a number of questions in sample papers might be repeated in the final exams.', 'JAC chairman, Arvind Prasad Singh, said, “We used to upload model question papers for 10th and 12th classes on council’s website two months before the examination. This year, we have decided to provide sample papers every month, which will begin from June or July.”', '“The sample papers would be circulated in schools so that teachers could evaluate the performance of the students every month. If we could provide mere five sets of model question papers, it would help students cover entire syllabus,” he said.', 'JAC declared the results of intermediate (12th) science and commerce on May 14 and matriculation (10th) on May 16. While 57% students passed in the science, 70.44 in commerce respectively. Similarly, the 10th class results declared on Thursday recorded 70.77% pass percentage.', 'State education department faced criticism for poor results in the intermediate science. The results also exposed that the school of state science topper, Radheyshyam Saha, had no science teacher.', 'Performance of 10 districts including West Singhbhum, Godda, Latehar, East Singhbhum, Sahebganj, Chatra, Gumla, Jamtara, Khunti and Pakru performed at worst where the pass percentage did not even touch 50% marks. Pakur remained the worst with abysmal  31.40%.', 'Overall pass percentage in 10th class might have improved by over 11% compared to 2018 results. However, pass percentage in many districts including Dumka, Sahebganj and Gumla has not been satisfactory.', 'Singh said, after introduction of month-wise model question papers, overall results in intermediate science or matriculation would improve. “Solving model question papers at regular intervals would help students to be familiar with types of questions asked in the examinations, which would help them to obtain good marks,” he said.', '\nFirst Published:\r\n\t\t\t\t\t\t\t\t\tMay 18, 2019 12:14 IST\n']"
Number of engineering seats to shrink by 2.2 lakh: AICTE,2019-05-18, 11:20,https://www.hindustantimes.com/education/number-of-engineering-seats-to-shrink-by-2-2-lakh-aicte/story-ExH4KDzqwCHVA6R9bh99cO.html,"['', 'With poor demand forcing engineering colleges to reduce seats in mechanical and civil streams, there will be 2.21 lakh fewer seats in diploma, undergraduate or postgraduate courses across the country in 2019-20.', 'According to the All India Council for Technical Education (AICTE) data, there are 3,660 universities or institutes offering diploma courses (10,25,408 seats) this year, and 3,122 offering undergraduate or postgraduate courses (14,66,114 seats). In 2018-19, there were 3,779 universities or institutes offering diploma courses (11,25,214 seats), and 3,241 offering undergraduate or postgraduate courses (15,87,097 seats).', 'The AICTE has approved 54,618 seats across diploma, undergraduate and postgraduate institutes this year. While AICTE has not shared stream- wise information on seats, most colleges said they had applied for new divisions in information technology. Of the new seats approved, Karnataka has the biggest share (11,431), followed by Uttar Pradesh (6,987).\u2009Telangana (7,836) and Maharashtra (6,895) saw the biggest drop in seats. In Maharashtra alone, 27 diploma/polytechnics requested for closure, bringing down the total intake by 6,355, highest in the country.', '“Until a few years ago, reduction in the intake capacity of engineering colleges would be less than 70,000-80,000, but this year the intake capacity of UG and PG engineering institutes has dropped by more than 1.20 lakh. Except for a few streams of engineering, colleges are refusing to continue classes for courses that are not in demand,” said a senior official from AICTE.', 'The final list of approved colleges and colleges allowed to either reduce their intake capacity or shut altogether was released earlier this week.', 'The directorates of technical education (DTEs) of six states, including Maharashtra, had requested the AICTE not to approve any new institutes in their respective states. The seat vacancy in engineering institutes in 2018-19 stood at 49.30%.', 'In December, a specially appointed committee suggested a two-year ban on new engineering institutes, starting 2020. “As this is the last year to start new colleges, there was an increase in the number of institutes that approached the council. Over the next two years, we will also encourage bigger and established colleges to mentor smaller institutes struggling with seat vacancy,” said Anil Sahasrabuddhe, director, AICTE.', 'Experts said there was a bigger problem. “Instead of shutting down colleges and bringing down the intake capacity of engineering institutes, the government should focus on investing in industries other than just IT. Of late, the demand for civil, mechanical and electronics engineering has reduced owing to lack of job opportunities in those sectors,” said Gopakumaran Thampi, principal of Thadomal Shahani Engineering College, Bandra.', '\nFirst Published:\r\n\t\t\t\t\t\t\t\t\tMay 18, 2019 11:20 IST\n']"
Manipur Board Result 2019: HSLC 10th result today. List of websites to check,2019-05-18, 11:07,https://www.hindustantimes.com/education/manipur-board-result-2019-hslc-10th-result-today-list-of-websites-to-check/story-kb1wlvJyGTpVvo5M9JF21J.html,"['The Board of School Education Manipur (BSEM or BOSEM) will declare the Class 10 board examinations results on Saturday, May 18, evening, according to a notification issued by BSEM Secretary Dr Chithung Mary Thomas.', '“There will be no display sheet on the notice board of the BOSEM,”says the notification. But the results can be accessed on', 'www.manresults.nic.in', 'www.bosem.in, ', 'www.manipureducation.gov.in', 'www.manipur.gov.in.', 'The class 10 examination also known as matriculation or High school leaving certification examination was conducted by BOSEM at 139 board centres in2019.', 'A total of 37,323 students, including 18,452 boys and 18,871 girls had appeared in the examination that were conducted from February 20 to March 15,2019.', 'Last year,more than 73 per cent students – the highest since the last five years – cleared the class 10 examination when the results of which were declared on May 25,2018.The last highest pass percentage(72.27)was recorded in2013.', '\nFirst Published:\r\n\t\t\t\t\t\t\t\t\tMay 18, 2019 11:07 IST\n']"
Manipur Board Result 2019: BSEM to declare HSLC 10th Results today at manresults.nic.in ,2019-05-18, 09:30,https://www.hindustantimes.com/education/manipur-board-result-2019-bsem-to-declare-hslc-10th-results-today-at-manresults-nic-in/story-8HL1YmGqxEKY8cUoIeainL.html,"['Board of Secondary Education,\u2009Manipur (BSEM)\u2009will declare the result of High School Leaving Certificate (HSLC) class 10th board exam today, May 18, 2019. Candidates will be able to check their results at the official website of Manipur Board Results at manresults.nic.in. ', 'The website of Manipur Board is flashing the date of class 10th result as May 18, 2019. However, the time of result declaration is still not revealed.\u2009', 'BSEM has already declared the class 12th board result on\u2009May 8. Altogether 28,649 students appeared in the Higher Secondary examinations this year but 21,151 passed the examination.The overall pass percentage was 73.83%.', 'In the science stream, the pass percentage is 74.87 %. In the arts stream, the pass percentage is 71.59%. In the commerce stream, the pass percentage is 66.62%.', 'In 2018,the overall pass percentage was 73.18 per cent. Among regular candidates 78.85 per cent boys and 74.70 per cent girls  cleared the exam . Among external candidates, 34.52% boys and 39.13% girls had passed  the exam.', '\nFirst Published:\r\n\t\t\t\t\t\t\t\t\tMay 18, 2019 09:30 IST\n']"
"Lok Sabha elections 2019: Congress, BJP vie for tribal votes in Madhya Pradesh  ",2019-05-18, 09:14,https://www.hindustantimes.com/india-news/lok-sabha-elections-2019-congress-bjp-vie-for-tribal-votes-in-madhya-pradesh/story-t7jshAtpvq1UTvp0THt3XL.html,"['From Shahdol to Ratlam 800 km away, the six seats reserved for tribals in the state are spread across Madhya Pradesh. The two constituencies in the state’s eastern and western parts are also a world apart in terms of topography, dialects etc. But the problems tribals face across Madhya Pradesh remain the same.', '“The tribals face the same problems, be it the Gonds in Mandla and Shahdol or the Bhils in Jhabua-Alirajpur. Most tribals, who account for 21% of the state’s population, remain poorly educated and desperately poor. They depend on agriculture and have to migrate to sustain themselves. Most do not have access to proper health facilities,” said Aneesh Thillenkery of the Ekta Parishad, an organisation that says it has been fighting for the tribal rights. There appears to be little resonance of the real tribal issues in the election campaign for the ongoing national polls. The BJP’s campaign in Khargone, Dhar and Ratlam, the remaining three tribal seats that would go to the polls on Sunday, has focused on nationalism and the Centre’s welfare measures and ruling Congress alleged failure in implementing its loan waiver promise.', 'The Congress has been banking on the welfare measures the party claims to have delivered for the tribals over the years apart from its loan waiver scheme for the farmers. It has also made the electoral pledge of ensuring a minimum guaranteed annual income of Rs 72,000 for the country’s poorest 20% a key election issue.', 'Kantilal Bhuria, who is the Congress’s candidate for the Ratlam seat, insisted his party has done everything for the tribals. He said they brought the Scheduled Tribes and Other Traditional Forest Dwellers (Recognition of Forest Rights) Act in 2006 and Mahatma Gandhi National Rural Employment Guarantee Act to stop migrations. “…but most importantly we gave dignity to the tribals,’’ said Bhuria, a former Union minister', 'Bhuria accused the BJP of trying to destroy the tribal culture. “The Congress wants us [tribals] to progress while retaining our culture.” Faggan Singh Kulaste, the BJP’s candidate from Mandla, said Prime Minister Narendra Modi talks about respect for tribals. “It is there in our [BJP] manifesto. But we are also stressing on nationalism and security.”', 'He added the BJP government’s record in implementing the forest rights law is the best in the country. “Of the 6.17 lakh requests for title deeds, nearly 2.49 have been given… 1.10 lakh are being reviewed. No one has been evicted,” Kulaste said. He acknowledged the health facilities across the tribal belt remained poor and that the BJP has failed to gain the total confidence of the tribals. “That is why we were voted out,” he said, referring to the BJP’s poor performance in the tribal belt in the 2018 assembly polls.', '\nFirst Published:\r\n\t\t\t\t\t\t\t\t\tMay 18, 2019 09:13 IST\n']"
"MP board 10th Result 2019: 40% fail in Class 10 board, election duty blamed",2019-05-18, 08:50,https://www.hindustantimes.com/education/mp-board-10th-result-2019-40-fail-in-class-10-board-election-duty-blamed/story-QlI5Kwxeh6WdNDnLOESM4L.html,"['Alarmed that nearly 40 per cent of the 3.87 lakh students had failed in the Class 10 MP Board exams, the authorities are mulling a drastic course correction, but are also blaming the fact that most teachers could not devote sufficient time in teaching due to Assembly and Lok Sabha poll duties.', 'Compared to last year there was a decrease by 5 % in the pass percentage. It was 66.54 % in 2018 and this year it was 61.32 %. That the slide took place despite best of five rule, under which students need to clear only five exam out of six, has rattled the Madhya Pradesh Board of Secondary Education (MPBSE) and school education department.', '“From July 2018,  80% teachers were appointed as booth level officer (BLO) for revision of the voters’ list. Later in November, they got busy in conducting election. After election again in January, they were appointed as BLO for voters’ list revision for Lok Sabha. Teachers couldn’t pay any attention on students due to poll duties and that is reflecting in the result,” an officer of school education department.    ', 'In the last two days, the authorities are in a huddle to find ways to improve the percentage. According to MPBSE secretary Ajay Gangwar, “The pattern of the exam will be more like CBSE with more objective type questions. Work is going on in developing sample question papers. We will distribute it among the schools to make students aware about the pattern.”', 'Another board official said that they would publicise the ‘Ruk Jana Nahin’ scheme which aims at ensuring the students who have failed do not lose a year. Under the scheme, the students sit for exams (in the subjects they have failed) under the Madhya Pradesh state open school board and the marks of the MP board and open school board are added.', 'Another thrust area was improving the standard of teaching by organizing regular teacher’s training through refresher course and also to ensure that teachers are not engaged in election duty unnecessarily.', '“Most teachers are not motivated and their method of teaching is outdated, they need effective refresher courses. We have spent over Rs 40 cr in refresher courses last year, but the results are not there,” the official said.', 'But Gangwar said the main problem was election duty thrust upon the teachers. “MP has already facing crises of teachers and most of the teachers were engaged in the election duties. They couldn’t concentrate on enhancing the performance of weak students.”', 'MP Teachers Association general secretary Ashutosh Pandey said, “Teachers should be freed from other activities. Not only election duties but they are also deputed so many official work. The absence of teachers in the class room is responsible for the poor performance of students.” ', '\nFirst Published:\r\n\t\t\t\t\t\t\t\t\tMay 18, 2019 08:50 IST\n']"
"At BHU, gender intersects ideological battle",2019-05-18, 08:45,https://www.hindustantimes.com/education/at-bhu-gender-intersects-ideological-battle/story-BbQ9bp8UBgNUTeJglUJM7O.html,"['Sakshi Singh was right there when Prime Minister Narendra Modi arrived at the main gate of the Banaras Hindu University (BHU) on 25 April to kick off his 7-km road show and election campaign for the Varanasi Lok Sabha seat. She stood just a few metres to his left as he went up a flower-studded staircase to garland the bust of Pandit Madan Mohan Malviya, the founder of BHU. Wearing a white T-shirt which said “NaMo again” and a saffron-and-green wristband, Singh joined her voice with thousands of people circling the statue enclosure: Modi, Modi, Modi… Forty other young women wearing the same T-shirt and standing behind her chanted the same word. Singh  hadn’t quite expected so many of them to come out and face the crowds and the heat.', '“I had requested the organisation for 100 shirts to distribute in MMV, but when I collected them and posted a status update about it, I received 200 requests. I got some more T-shirts and gave out at least 175 on my own in this so-called Leftist centre,” she said. The organisation she refers to is Akhil Bharatiya Vidyarthi Parishad (ABVP) and MMV stands for Mahila Maha Vidyalaya, a women’s college in the BHU with its own hostel inside the campus. The MMV is known, inside and outside the campus, as an island of opposition to the complete hold of the Sangh over BHU (which explains Singh’s Leftist remark). When people in BHU say Sangh they usually mean the Hindu right-wing establishment RSS (Rashtriya Swayamsevak Sangh), VHP (Vishwa Hindu Parishad), BJP (Bharatiya Janata Party) and ABVP…', 'In BHU, people do bring up Sangh a lot, except in MMV. ', 'On 21 April, just four days before Modi’s arrival, nearly 50 female students of the BHU marched through Varanasi asking for an end to oppression and patriarchy. The walk was organised by the Joint Action Committee, an alliance of progressive students committed to social justice, equality and democratic space, which is seen as a leftist group by those affiliated or attracted to the sangh. “Girl students are a little more rational,” said Amrita Singh, a PhD student. “In some hostels, the Left and the Samajwadi ideologies continue to survive,” she said. Left can also mean supporters of the Congress party in BHU speak. ', '“They only organised the walk with one agenda, to dampen  the mood in Banaras before Modi’s filing of his nomination for the seat,” said Singh.', 'Hindu nationalism is central to BHU’s political life, and BHU has had a lot to contribute to the political life of Hindu nationalism. It was set up in 1916 by Malviya, a scholar of Hinduism and a proponent of nation-building, and counts among its early influencers MS Golwalkar, the second Sarsanghchalak of the RSS. At the time of admission, students receive a booklet containing information they would find useful in negotiating life at BHU. It begins with a message from Pandit Malviya stressing “learning”, “patriotism”, and “self-sacrifice” as building blocks of a man’s worthiness.', '“If Jawaharlal Nehru University is a symbol of un- Indianness, the Banaras Hindu University is a symbol of Indianness. If you look at the BHU’s constitution, it talks about Indianness,” RSS leader Manmohan Vaidya reminded everyone in 2018.', '“Madan Mohan Malviya built this campus on the foundation of Hindu nationalism,” said Abhay Pratap, co-convenor of the ABVP’s campus unit. “Once a student enters this campus bachhe ke andar desh ke liye bhavna aa jaati hai (he or she starts thinking about the nation). They start going to RSS’ shakhas in the university. Then they are attracted to the student organisation that is following its ideology, which is ABVP.” ', 'That’s what happened to Pratap in 2015 when he came to BHU from Gorakhpur to study political science. “The ABVP’s nation-first ideology attracted me.” The ABVP, he said, is also the only student group with enough campus currency -- 80 office bearers and thousands of supporters-- to get “work done.” “We question the administration, and the government, on student issues, from admission fee to unfair suspension. At times we have protested against Modi government also, about the CBSE paper leak or the CLAT entrance,” he said. CBSE stands for Cental Board of Secondary Education;  CLAT is short for Common Law Admission Test, in which some glitches arose.', 'Mostly, though, the ABVP in BHU promotes and benefits from the national rise of the BJP and Narendra Modi. “After 2014, the (number of)  RSS shakhas in the campus multiplied. Thanks to Modi ji, ABVP’s orbit also expanded. More and more boys were attending these shakhas, more and more were joining the ABVP,” Pratap said. Currently, he said, “we fully dominate the campus.”', 'This domination makes the campus a very conservative space, say students who refer to themselves as politically neutral. “When new boys come from the interiors... they see girls, they see short clothes, and they can’t handle it. And when these girls educate themselves, start thinking, start speaking up, the boys can’t digest it. This frustration enters their politics. That contributes to ABVP’s domination here,” says Sisendra Sisodia. “The multiple layers of RSS, ABVP and BJP gives them clout at ideological, political and students’ affairs level. So what do you think the campus politics will be: conservative or progressive?” he asked.', 'Pratap doesn’t see it that way. He insists ABVP is changing with a changing campus. “BHU is in a transition period, from hostel timings to education curriculum,” said Sisodia. “Earlier there was only arts, science and IIT. Now there is women’s studies, skill development, professional courses. Students ki demand hai. Time ki demand hai (Students are demanding this. The times are demanding this.) ', 'At such a time, he said, “there should be no space for discriminatory policies in a campus, whatever the situation outside.”', '“Five- six years ago people who were with ABVP believed that non-veg should be stopped in all hostels. We supported the women’s demand for equality in mess. Today we are campaigning for a 24-hour canteen. On this Women’s Day ABVP organised a seminar on ‘women’s role in shaping 21st century’,” Pratap said. ', '“The women in BHU are not interested in jumla-bazi (slogans),” said Amrita Singh who has played an active role in the women’s protests. For most part, ABVP’s image of being male-dominated and conservative has alienated the women. In recent years, BHU has repeatedly made national headlines for its female students’ agitations for “azaadi” -- to extend their curfew hour, to be allowed “non-veg” in their canteen, to wear “western” clothes, to be allowed same flexibility in mess fees as the male students. “Every day the girls fight a little towards towards further freedom,” said Amrita Singh. The ABVP hasn’t exactly been an ally. “The concept of azaadi is facinating for the women, but Banaras ka mahaul aisa nahin hai ki ladkiyan late night bahar nikal sakein (Banaras doesn’t have the kind of atmosphere in which women can go out late at night)” said Pratap. “Their curfew has been extended to 10 pm after protests but now they are demanding that there be no regulation on their comings and goings, like in the boys’ hostels. But the Sangh only supports what is possible and what is practical,” he added.', 'And, as Sakshi Singh exemplifies, the ABVP’s reach has extended to the women in BHU too. ', 'In 2018, after a violent face-off between female students and ABVP’s men,  Singh “became totally active in the ABVP. I began to organise events, from self-defence workshops to science debates, for women. My motto was to pull women free from the clutches of leftist-feminists. I said to them we don’t have to independent, we can be inter-dependent. Leftist-feminists continue to be more in number but now at least 13-14 girls in MMV are with ABVP and many more support us, BJP and Modi,” she added.', 'Aparna Singh is not so sure. “The girls are listening to everyone’s speeches, they are watching everyone’s videos -- Modi’s, Kanhaiya Kumar’s, Mahagathbandhan’s. The mood in women’s hostels is increasingly anti-BJP,” she said. “We are studying political science, sociology, Satre, Marx. The haze lifts. There is new democratic awareness. Surprising numbers of women students have taken leave to go home and vote this time. We also know how difficult it is for women to clear a space for themselves in a masculine society in which the discourse is about 56-inch chests and Pilibhit’s tigers,” she said. ', 'Earlier in 2019, Sakshi Singh was made a National Executive Committee member of the ABVP. For months she has worked hard to improve BJP’s electoral chances, from organising voter awareness camps to nukkad nataks (street plays). She has been up there and out there with the men but at times she feels “frustrated”. On 25 April, she and her team of ABVP’s women members walked two km to Assi Ghat “side by side” with Modi’s caravan, but they couldn’t go any further. There were just too many men. “There was so much pushing and shoving.We could go that far only because our own men were surrounding us. But I was in no condition to carry on. I was feeling harassed.”', ' In spite of the “challenges” she faces “as a woman, especially in such situations” Sakshi Singh is going to stick with the ABVP. And when she casts her first vote in Varanasi on 19 May, it will be for Narendra Modi. ', '\nFirst Published:\r\n\t\t\t\t\t\t\t\t\tMay 18, 2019 08:45 IST\n']"
"HBSE 10th Result 2019: Daughters of labourer, carpenter and driver among toppers ",2019-05-18, 08:26,https://www.hindustantimes.com/education/hbse-10th-result-2019-daughters-of-labourer-carpenter-and-driver-among-toppers/story-LS76lt58JtyFMPCd6XY3lK.html,"[' Daughters of a labourer, a driver and a carpenter have secured top positions in Class 10 exam of Board of School Education Haryana. ', 'Kaithal labourer’s daughter Isha Devi with 497 marks out of 500 sharesthe first position with three others. ', 'Isha is a student of Shiv Shiksha Niketan Sr Secondary School at Sanghan in Kaithal district. She belongs to Barta village of the district. ', 'Talking to HT, Isha’s mother Raj Rani said, “Isha is very good at studies and we were expecting that she would top the exam.” ', 'She said Isha’s achievement has come as a hope for the family as her father Dharmendra is a daily-wager and does not earn enough to provide quality education and facilities to his children. “We could not send her for private tuition and she got the first position by self study.”', 'Isha’s teacher Shiela said that she is a disciplined girl and always focused on study. “She comes from a very humble background, but now she has become a source of inspiration for other students,” she added.', 'Sanju Rani of the Ashadeep High School of Karhans in Panipat district is also among the toppers with 497 marks.', 'Sanju belongs to a very poor family of Karhans village. Sanju’s father Rampal, who is carpenter, said he is very happy over the achievement of his daughter. ', 'Her mother Anju, who is a housewife, says, “It is a big day of my life as my daughter, a girl from an ordinary family of a small village, has topped the exam.”', '“In 2017, my son had topped Class 10 exam at the block level, but my daughter has proved that girls can even do better than boys,” she added.', 'Sanju gave credit for her success to her family, especially her father, as she said that he always fulfilled her expectations.”I also owe it to my teachers and other family members as they extended all support to me.” ', 'She added that she did not go for tuition and dedicated eight hours daily to self study”. ', 'Sanju’s classmate Tannu is among four students, who shared the second position. ', 'Tannu, a student of Ashadeep High School of Karhans in Panipat, has got 496 marks. Tannu belongs to Pasina Kalan village and her father Ramesh Chander is a driver. Tannu says that she studied 6-7 hours daily and was expecting to be among the toppers.', 'Meanwhile, Hisar’s Nidhi also bagged 496 marks and shsred the second position. Daughter of a property dealer, Nidhi says she wants to become an IAS officer. “I will study hard to achieve my target. I have already started studying for my higher education and I will take best coaching to become an IAS officer.” ', '\nFirst Published:\r\n\t\t\t\t\t\t\t\t\tMay 18, 2019 08:26 IST\n']"
"GBSHSE Goa Board 10th SSC Result 2019 to be declared on May 21, check details here ",2019-05-18, 07:48,https://www.hindustantimes.com/education/gbshse-goa-board-10th-ssc-result-2019-to-be-declared-on-may-21-check-details-here/story-yY0AsxhS2pWXEPxKQLLNGO.html,"['Goa Board of Secondary and Higher Secondary Education (GBSHSE) has confirmed the date of declaring class 10th exam result. GBSHSE\u2009will declare the results of class 10th board exam on May 21 at 11:30 AM. ', 'Candidates can check the results at ghshse.gov.in.  If you are unable to see the results online, you can send a text message in the following format -RESULT<space>GOA10<space>ROLLNO - to 56263 to get your result on your phone.', 'According to reports, over 18,000 students had appeared for the \u2009GBSHSE\u2009class 10th exam that was conducted between April 2 and 23, 2019. ', 'According to the official press note, distribution of grades/ marks of SSC\u2009exam will be on May 23 from 9:30 am to 1:30 pm as per the schedule. ', 'How to check Goa Board SSC\u2009Result 2019', 'Visit the official website of Goa Board at gbshse.org', 'On the homepage, click on the link that reads GHBSHE\u2009SSC\u2009Result 2019', 'Key in your roll number and other login credential and submit', 'Your result will be displayed on the screen', 'Download and take its print out. ', '\nFirst Published:\r\n\t\t\t\t\t\t\t\t\tMay 18, 2019 07:48 IST\n']"
Pass percentage up six points in state board Class 10 results,2019-05-18, 04:29,https://www.hindustantimes.com/gurgaon/pass-percentage-up-six-points-in-state-board-class-10-results/story-uscFEhY0HfrwuZATZhqffN.html,"['Four students jointly topped the Haryana board Class 10 examination, the results of which were declared by the Board of School Education Haryana (BSEH) on Friday.', 'Himanshu of Newton High School, Jhajjar; Sanju of Ashadeep Adarsh School, Panipat; Isha Devi of Shiv Shiksha Niketan, Kaithal and Shalini of Maharshi Dayanand School, Jind, were declared the joint toppers as they all secured 497 marks out of 500 (99.4%).', 'The overall pass percentage this year is 57.39%, up by six points as compared to last year’s, when 51.15% students had made the cut. ', 'Nonetheless, the poor show in Class 10 continued as 1.4 lakh students failed the exams while another 18,000 got compartments. A total of 3.64 lakh candidates had appeared in the exams.', 'Experts have been blaming the poor results of Class 10 every year on the government’s no-detention policy that bars schools from failing any student till Class 8. Uneven distribution of teachers is another factor leading to dismal results in government schools, which have been outperformed by private schools this year by a margin of 10 percentage points. ', 'Girl students outperformed boys by nine percentage points. Compared to 62.17% girls, only 53.43% boys cleared the examination. With 496 marks out of 500, the second position was also shared by four students — Nidhi of Hisar, Ritika of Fatehabad, Tannu of Panipat and Divya of Sirsa. ', 'As many as eight students — Ekta, Chhaya and Anshu of Jind, Muskan of Sirsa, Sahil of Panipat, Pooja of Hisar, Shubhanshu of Sonepat and Nidhi of Fatehabad — were placed at third spot as they secured 495 marks each.', 'The pass percentage of Class 10 had hit a low of 49% in 2016 when the state board had scrapped its moderation policy.  After 2016, the results have improved marginally. ', 'Board chairman Jagbir Singh said the board had distributed past three years’ question papers to schools this year. “The schools were encouraged to hold three mock exams, which seems to have helped,” he said. ', '\nFirst Published:\r\n\t\t\t\t\t\t\t\t\tMay 18, 2019 04:29 IST\n']"
